id,name,structure-id,structure-abbrev,structure-name,structure-color,strain,transgenic-line,gender,injection-coordinates,injection-volume,injection-structures,product-id,sum,num-voxels,selected,experiment_page_url
180435652,378-1825,895,ECT,Ectorhinal area,0D9F91,C57BL/6J,"",M,"[7820, 4250, 9870]",1.022540,"[{""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>1018, ""name""=>""Ventral auditory area"", ""abbreviation""=>""AUDv"", ""color""=>""019399""}]",5,27.23183,492962,false,http://connectivity.brain-map.org/projection/experiment/180435652
180436360,378-1827,677,VISC,Visceral area,11AD83,C57BL/6J,"",M,"[4800, 4720, 8980]",1.153510,"[{""id""=>111, ""name""=>""Agranular insular area, posterior part"", ""abbreviation""=>""AIp"", ""color""=>""219866""}, {""id""=>353, ""name""=>""Primary somatosensory area, nose"", ""abbreviation""=>""SSp-n"", ""color""=>""188064""}, {""id""=>378, ""name""=>""Supplemental somatosensory area"", ""abbreviation""=>""SSs"", ""color""=>""188064""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>583, ""name""=>""Claustrum"", ""abbreviation""=>""CLA"", ""color""=>""8ADA87""}, {""id""=>677, ""name""=>""Visceral area"", ""abbreviation""=>""VISC"", ""color""=>""11AD83""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]",5,27.05213,486846,false,http://connectivity.brain-map.org/projection/experiment/180436360
166055636,Rbp4-Cre-91,993,MOs,Secondary motor area,1F9D5A,unknown,Rbp4-Cre_KL100,M,"[3080, 1970, 6130]",0.486499,"[{""id""=>39, ""name""=>""Anterior cingulate area, dorsal part"", ""abbreviation""=>""ACAd"", ""color""=>""40A666""}, {""id""=>993, ""name""=>""Secondary motor area"", ""abbreviation""=>""MOs"", ""color""=>""1F9D5A""}]",5,23.13456,491746,false,http://connectivity.brain-map.org/projection/experiment/166055636
180719293,378-1822,985,MOp,Primary motor area,1F9D5A,C57BL/6J,"",M,"[3140, 3330, 7390]",1.081540,"[{""id""=>985, ""name""=>""Primary motor area"", ""abbreviation""=>""MOp"", ""color""=>""1F9D5A""}, {""id""=>993, ""name""=>""Secondary motor area"", ""abbreviation""=>""MOs"", ""color""=>""1F9D5A""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]",5,22.57134,482361,false,http://connectivity.brain-map.org/projection/experiment/180719293
167902586,Rbp4-Cre-129,746,ORBvl,"Orbital area, ventrolateral part",248A5E,unknown,Rbp4-Cre_KL100,F,"[2570, 3680, 5890]",0.536006,"[{""id""=>39, ""name""=>""Anterior cingulate area, dorsal part"", ""abbreviation""=>""ACAd"", ""color""=>""40A666""}, {""id""=>44, ""name""=>""Infralimbic area"", ""abbreviation""=>""ILA"", ""color""=>""59B363""}, {""id""=>723, ""name""=>""Orbital area, lateral part"", ""abbreviation""=>""ORBl"", ""color""=>""248A5E""}, {""id""=>731, ""name""=>""Orbital area, medial part"", ""abbreviation""=>""ORBm"", ""color""=>""248A5E""}, {""id""=>746, ""name""=>""Orbital area, ventrolateral part"", ""abbreviation""=>""ORBvl"", ""color""=>""248A5E""}, {""id""=>972, ""name""=>""Prelimbic area"", ""abbreviation""=>""PL"", ""color""=>""2FA850""}, {""id""=>993, ""name""=>""Secondary motor area"", ""abbreviation""=>""MOs"", ""color""=>""1F9D5A""}]",5,22.23606,488239,false,http://connectivity.brain-map.org/projection/experiment/167902586
180709942,378-1812,985,MOp,Primary motor area,1F9D5A,C57BL/6J,"",M,"[3360, 3120, 7520]",0.793079,"[{""id""=>985, ""name""=>""Primary motor area"", ""abbreviation""=>""MOp"", ""color""=>""1F9D5A""}, {""id""=>993, ""name""=>""Secondary motor area"", ""abbreviation""=>""MOs"", ""color""=>""1F9D5A""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]",5,20.77892,482361,false,http://connectivity.brain-map.org/projection/experiment/180709942
174957972,378-1773,181,RE,Nucleus of reunions,FF909F,C57BL/6J,"",M,"[6120, 5150, 4540]",1.474210,"[{""id""=>15, ""name""=>""Parataenial nucleus"", ""abbreviation""=>""PT"", ""color""=>""FF909F""}, {""id""=>38, ""name""=>""Paraventricular hypothalamic nucleus"", ""abbreviation""=>""PVH"", ""color""=>""FF5D50""}, {""id""=>63, ""name""=>""Paraventricular hypothalamic nucleus, descending division"", ""abbreviation""=>""PVHd"", ""color""=>""FF4C3E""}, {""id""=>127, ""name""=>""Anteromedial nucleus"", ""abbreviation""=>""AM"", ""color""=>""FF909F""}, {""id""=>149, ""name""=>""Paraventricular nucleus of the thalamus"", ""abbreviation""=>""PVT"", ""color""=>""FF909F""}, {""id""=>181, ""name""=>""Nucleus of reunions"", ""abbreviation""=>""RE"", ""color""=>""FF909F""}, {""id""=>189, ""name""=>""Rhomboid nucleus"", ""abbreviation""=>""RH"", ""color""=>""FF909F""}, {""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>262, ""name""=>""Reticular nucleus of the thalamus"", ""abbreviation""=>""RT"", ""color""=>""FF909F""}, {""id""=>366, ""name""=>""Submedial nucleus of the thalamus"", ""abbreviation""=>""SMT"", ""color""=>""FF909F""}, {""id""=>599, ""name""=>""Central medial nucleus of the thalamus"", ""abbreviation""=>""CM"", ""color""=>""FF909F""}, {""id""=>1120, ""name""=>""Interanteromedial nucleus of the thalamus"", ""abbreviation""=>""IAM"", ""color""=>""FF909F""}]",5,20.69042,494128,false,http://connectivity.brain-map.org/projection/experiment/174957972
180917660,378-1826,677,VISC,Visceral area,11AD83,C57BL/6J,"",M,"[5570, 4540, 9540]",1.295040,"[{""id""=>111, ""name""=>""Agranular insular area, posterior part"", ""abbreviation""=>""AIp"", ""color""=>""219866""}, {""id""=>378, ""name""=>""Supplemental somatosensory area"", ""abbreviation""=>""SSs"", ""color""=>""188064""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>677, ""name""=>""Visceral area"", ""abbreviation""=>""VISC"", ""color""=>""11AD83""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>1018, ""name""=>""Ventral auditory area"", ""abbreviation""=>""AUDv"", ""color""=>""019399""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]",5,20.58687,486669,false,http://connectivity.brain-map.org/projection/experiment/180917660
480074702,Slc6a4-Cre_ET33-191128,795,PAG,Periaqueductal gray,FF90FF,B6.Cg,Slc6a4-Cre_ET33,F,"[9670, 3660, 5320]",0.289425,"[{""id""=>115, ""name""=>""Trochlear nucleus"", ""abbreviation""=>""IV"", ""color""=>""FF90FF""}, {""id""=>591, ""name""=>""Central linear nucleus raphe"", ""abbreviation""=>""CLI"", ""color""=>""FFA6FF""}, {""id""=>795, ""name""=>""Periaqueductal gray"", ""abbreviation""=>""PAG"", ""color""=>""FF90FF""}, {""id""=>872, ""name""=>""Dorsal nucleus raphe"", ""abbreviation""=>""DR"", ""color""=>""FFA6FF""}]",35,19.24215,495192,false,http://connectivity.brain-map.org/projection/experiment/480074702
158257355,378-1626,596,NDB,Diagonal band nucleus,96A7D3,C57BL/6J,"",M,"[4440, 6130, 5460]",1.416060,"[{""id""=>44, ""name""=>""Infralimbic area"", ""abbreviation""=>""ILA"", ""color""=>""59B363""}, {""id""=>48, ""name""=>""Anterior cingulate area, ventral part"", ""abbreviation""=>""ACAv"", ""color""=>""40A666""}, {""id""=>56, ""name""=>""Nucleus accumbens"", ""abbreviation""=>""ACB"", ""color""=>""80CDF8""}, {""id""=>72, ""name""=>""Anterodorsal preoptic nucleus"", ""abbreviation""=>""ADP"", ""color""=>""FF5547""}, {""id""=>226, ""name""=>""Lateral preoptic area"", ""abbreviation""=>""LPO"", ""color""=>""F2483B""}, {""id""=>258, ""name""=>""Lateral septal nucleus, rostral (rostroventral) part"", ""abbreviation""=>""LSr"", ""color""=>""90CBED""}, {""id""=>342, ""name""=>""Substantia innominata"", ""abbreviation""=>""SI"", ""color""=>""A2B1D8""}, {""id""=>351, ""name""=>""Bed nuclei of the stria terminalis"", ""abbreviation""=>""BST"", ""color""=>""B3C0DF""}, {""id""=>452, ""name""=>""Median preoptic nucleus"", ""abbreviation""=>""MEPO"", ""color""=>""FF5547""}, {""id""=>523, ""name""=>""Medial preoptic area"", ""abbreviation""=>""MPO"", ""color""=>""FF5547""}, {""id""=>564, ""name""=>""Medial septal nucleus"", ""abbreviation""=>""MS"", ""color""=>""96A7D3""}, {""id""=>596, ""name""=>""Diagonal band nucleus"", ""abbreviation""=>""NDB"", ""color""=>""96A7D3""}, {""id""=>1109, ""name""=>""Parastrial nucleus"", ""abbreviation""=>""PS"", ""color""=>""FF5547""}]",5,18.55503,488575,false,http://connectivity.brain-map.org/projection/experiment/158257355
